Price,Total_stops_num,Duration_min,Year,Month,Day,Airline_enc,Source_enc,Destination_enc
1031.0,0,440,2022.0,2.0,1.0,92,0,1
1031.0,0,440,2022.0,2.0,1.0,92,0,1
1031.0,0,440,2022.0,2.0,1.0,92,0,1
1238.0,0,430,2022.0,2.0,1.0,92,0,1
1238.0,0,440,2022.0,2.0,1.0,92,0,1
1238.0,0,450,2022.0,2.0,1.0,92,0,1
1238.0,0,450,2022.0,2.0,1.0,92,0,1
1353.0,0,425,2022.0,2.0,1.0,397,0,1
1353.0,0,440,2022.0,2.0,1.0,147,0,1
1358.0,0,425,2022.0,2.0,1.0,716,0,1
1634.0,0,440,2022.0,2.0,1.0,346,0,1
1027.0,1,655,2022.0,2.0,1.0,609,0,1
1080.0,1,655,2022.0,2.0,1.0,276,0,1
1193.0,1,615,2022.0,2.0,1.0,271,0,1
1315.0,1,660,2022.0,2.0,1.0,551,0,1
1007.0,1,995,2022.0,2.0,1.0,632,0,1
1039.0,1,980,2022.0,2.0,1.0,270,0,1
1063.0,1,770,2022.0,2.0,1.0,630,0,1
1080.0,1,655,2022.0,2.0,1.0,276,0,1
1080.0,1,820,2022.0,2.0,1.0,276,0,1
1193.0,1,615,2022.0,2.0,1.0,271,0,1
1257.0,1,695,2022.0,2.0,1.0,271,0,1
1315.0,1,660,2022.0,2.0,1.0,551,0,1
1358.0,1,545,2022.0,2.0,1.0,716,0,1
1358.0,1,609,2022.0,2.0,1.0,716,0,1
1358.0,1,623,2022.0,2.0,1.0,716,0,1
1358.0,1,650,2022.0,2.0,1.0,716,0,1
1358.0,1,660,2022.0,2.0,1.0,716,0,1
1358.0,1,700,2022.0,2.0,1.0,716,0,1
1358.0,1,715,2022.0,2.0,1.0,716,0,1
1358.0,1,760,2022.0,2.0,1.0,716,0,1
1358.0,1,761,2022.0,2.0,1.0,716,0,1
1370.0,1,610,2022.0,2.0,1.0,208,0,1
1370.0,1,660,2022.0,2.0,1.0,208,0,1
1370.0,1,665,2022.0,2.0,1.0,208,0,1
1370.0,1,685,2022.0,2.0,1.0,208,0,1
1370.0,1,690,2022.0,2.0,1.0,208,0,1
1370.0,1,700,2022.0,2.0,1.0,208,0,1
1370.0,1,700,2022.0,2.0,1.0,208,0,1
1370.0,1,705,2022.0,2.0,1.0,208,0,1
1370.0,1,706,2022.0,2.0,1.0,208,0,1
1370.0,1,715,2022.0,2.0,1.0,208,0,1
1370.0,1,730,2022.0,2.0,1.0,208,0,1
1370.0,1,740,2022.0,2.0,1.0,208,0,1
1374.0,1,724,2022.0,2.0,1.0,67,0,1
1377.0,1,685,2022.0,2.0,1.0,728,0,1
1383.0,1,605,2022.0,2.0,1.0,67,0,1
